,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
buitenland_1815,-0.7771856,-0.3097023,2.472196,-0.5846875,-0.06498295,-1.2443668,0.4173265,0.052008495,1.065809,0.99755645,0.87780774,-0.17602356,-0.860553,0.1362761,-0.26515865,-0.84227943,-0.60261977,-0.7762912,0.5535429,-1.8820937,-0.27625704,0.43451744,0.96275645,1.9392269,0.4665955,0.84760916,-1.0372181,-1.6132003,0.43683094,1.1952319,-0.7871513,-0.08539164,-1.0172818,-1.8406974,-1.4034826,-0.8102708,-0.19734548,-0.2936378,0.71620023,2.0150757,0.040082484,1.1561517,-0.17492391,0.15424722,-0.16760282,1.641696,0.8306974,1.0731312,1.0518593,1.0594633,1.080419,-0.881346,-0.38342786,0.49693206,0.80651796,-0.1557842,0.3475816,0.13141896,-0.029220851,0.004855925,0.61243504,-0.77766645,-2.6674654,0.3219512,-0.017076137,-0.42911953,0.08522268,0.13280381,0.7425744,-0.001152026,1.6326216,-0.051717598,0.23019855,0.5278324,-0.49854058,1.2008277,-1.0750568,0.75373906,0.15852898,0.23034023,0.26133323,0.5394487,-1.3675655,-0.9779283,0.64731294,0.5730764,0.14518312,-1.2206001,-0.8048677,-0.9420542,0.6884596,-0.46484163,-0.923761,0.97513366,0.8550018,-1.2138561,0.3096336,0.639848,-0.4493191,-0.21020952
buitenland_1825,-2.343977,0.30989468,2.706411,0.62572986,0.3967405,-0.6060502,-0.48429686,-0.37831602,1.5675683,1.6391674,1.5866716,-0.08898428,-0.2012982,0.64103985,0.7515015,-0.85618854,-0.98590755,-0.21661118,1.3805745,-1.5822306,-0.24712372,0.4851231,-0.13010323,2.1394982,0.54248387,0.86494756,-0.04381691,-0.7590607,0.357681,1.5418785,-1.1215738,0.2664633,-1.3764338,-2.3130407,-1.1947676,-0.5406159,-0.021018798,-0.36502555,-0.931493,1.3943509,-0.7301576,0.21164335,-0.4048037,-0.039597068,-1.0646921,0.41331095,0.5775598,2.1597614,-0.1563446,1.093648,1.0901681,-0.726641,-0.14971134,1.2403269,0.9241305,-0.6283091,1.2596936,1.4085524,-0.024390446,0.14253923,-0.21660812,-2.365901,-3.224535,2.1134307,0.9627127,-0.22899567,1.9001837,0.5052262,1.8288853,-0.621418,2.3664534,-0.37956798,0.6385271,2.249665,1.0301788,0.69082046,-1.5358495,0.81000715,0.039599694,0.22156863,0.4264055,0.07602055,-0.5731881,-1.8438674,-0.20651843,0.9602108,1.2818584,-1.3837631,0.110326566,-1.083749,0.77805877,-1.1191628,-1.7020322,1.8787661,1.1179354,-1.2356029,-0.21628335,0.8412226,-0.45183572,0.12973717
buitenland_1835,-3.9641054,3.4993193,1.8463447,1.3737586,2.3707647,1.0653323,-2.5423899,-1.677263,0.52782327,1.3067502,1.7536969,1.2682312,1.9210162,-1.4212344,3.6592522,0.86367244,-1.3933005,1.9120145,3.3543425,-1.2853065,-1.7765175,1.9249078,-0.17869918,3.9704018,1.7437963,2.2375224,-0.16339993,-1.7005947,1.3707355,2.1329372,-2.4599824,-1.2834471,-0.27149722,-3.579332,-0.4271271,1.6663554,-1.1948903,-0.5192222,-0.061439767,-1.0189695,-2.3535366,-0.8973934,-1.3700821,-0.21993661,-0.7636156,0.73421854,0.16045271,3.2407768,-0.88731587,0.562793,1.6009353,0.7072765,-0.6308219,-1.0300039,0.16005458,1.328947,-0.411425,0.41671336,-0.8941673,0.7703237,-2.4292274,-1.6261426,-3.5565789,4.908974,0.07422125,1.2364668,1.2407473,2.3578196,0.27070722,-0.6953182,2.6598406,-1.238492,0.107273124,4.104603,2.604001,1.4847348,-2.5570226,1.1786587,1.6796639,-1.711501,-0.5494078,-0.1290315,-1.2365692,-1.294833,-0.35885605,-0.3052097,1.0802116,-0.33443382,-1.3476007,0.30804306,-0.27747416,1.6316242,-1.5056806,1.574757,0.74307144,-1.7699804,1.6407175,0.22617888,-1.6897032,-0.21066204
buitenland_1845,-4.360894,1.9198385,2.3027124,0.63024414,0.09886435,0.45936403,-1.9686322,-1.6087102,0.6544771,-0.4322667,1.7220032,1.1535175,1.4825889,-0.9724497,3.441188,-0.19015087,-2.328171,2.7354453,3.10678,-0.3803911,-1.313248,2.9852264,-0.49683478,3.2056828,0.82364285,0.48826683,-1.1219983,-0.2536797,1.2111819,1.4405196,-2.740505,-0.343698,0.015197299,-3.9013746,-1.1193582,1.2017604,-1.4867809,-1.086469,-1.7592583,-2.2945182,-2.6116905,-1.025908,-1.1663305,-1.4978492,-1.8394662,0.9937059,0.92948514,3.7436342,-1.1559867,1.806769,2.8052738,0.891515,-2.013538,-0.85947335,-0.19493768,1.772448,1.4242543,0.91156733,-1.1429174,0.5286055,-1.3594078,-1.5579294,-1.99823,4.944948,0.31769353,1.6221179,1.49062,0.9644665,-0.20818357,-0.61194897,2.2955685,-1.2377378,0.5835357,4.3066845,2.6661813,1.2110924,-2.2400644,1.4397275,0.8857319,-1.6298395,1.7131358,1.0379349,-0.212677,-1.6202984,-0.6619056,-2.4446213,1.8454835,-1.1815734,-1.3183695,-1.1009408,0.058674518,-0.10752003,-0.58325875,1.7123952,1.5604274,-1.4642094,0.11422683,0.8127703,-2.5692837,-0.33877105
buitenland_1855,-3.9848042,2.18161,2.6459584,1.1242098,0.012940367,0.59379333,-1.6451542,-0.5211179,-0.23936993,-0.102265745,1.6483827,1.0776532,2.2985828,-0.14028232,3.0453527,0.43240678,-1.8775376,1.3767978,2.9989514,-0.44080573,-1.0656618,2.6011767,-1.3817198,2.8624263,0.6634674,0.69944113,-1.3442487,0.13936801,1.2910358,0.16154937,-4.3623853,-0.7806563,-2.1998463,-3.7910159,-1.5627079,1.9371364,-1.6811539,-0.15066086,-1.5381885,-2.4514678,-1.7911397,-1.5583972,-2.248679,-1.9158436,-2.2498147,0.22704665,0.60153824,4.3015227,-0.33143798,1.7451832,3.0509562,1.2845801,-3.562072,-1.6022623,-1.4390987,2.9156597,0.5823067,1.1402311,-0.6615973,2.6478808,-0.8134976,-1.5676614,-0.6045696,5.0952296,1.0017477,2.061571,0.5414275,1.7210407,-2.6329334,0.5796786,2.243586,-0.7339826,0.47564265,3.6614168,2.0867405,1.3619516,-1.8498945,1.290797,1.2718513,-1.0273811,0.40655524,1.7938027,-0.49448574,-1.0316038,0.15995471,-2.689806,1.4665883,-0.3597571,-0.8304109,0.14381336,-0.056270793,0.8591896,-0.25874385,1.4034461,0.7276311,-2.4834437,-0.53252065,-0.3087561,-1.6635265,0.2578371
buitenland_1865,-2.3435388,1.1414281,1.3075176,1.4331393,-1.1819886,0.89642227,-0.88585204,-1.9180915,0.3748247,-3.5783262,2.3505096,2.405663,1.1712091,0.5806868,2.5557375,-0.3392072,-2.1665533,0.527935,1.4555762,1.6294683,0.21998686,1.3317223,-2.4486,1.5025032,0.03385229,-1.1996381,-3.86091,-0.43556595,2.1885881,0.79190904,-3.2465105,-0.5312686,-1.4446579,-3.6496754,-0.69564927,0.59757245,-0.81906384,-0.5368463,0.36552608,-1.6566844,-1.6979749,-1.0305938,-1.115046,-1.1745315,-3.8682497,2.0301917,-0.40088108,4.6013694,-1.286412,2.6212215,3.895934,2.2885747,-2.6560118,-1.34875,-0.73744404,2.3757076,0.4930141,0.38938794,-0.46993017,2.1963706,-1.0834135,-1.6148783,-1.0128214,4.6158404,2.3267632,1.1627989,-0.019271288,1.7898089,-3.0349827,0.60077506,2.0766177,0.7956792,-0.18444863,4.6274486,0.92836833,1.1998492,-0.4157326,2.1879072,-0.07256884,-1.5529958,1.7092152,1.5259106,0.27156335,-0.8726069,1.2445552,-1.7083424,2.3880465,-1.6686667,0.040333256,-0.07308424,0.98883015,0.20799534,1.7678918,2.2754643,1.5795244,-1.1439884,1.5005562,0.78164744,-2.4387662,0.032176826
buitenland_1875,-3.2015843,1.7205969,2.4121451,2.5858347,-1.60901,-0.40860894,-1.5066458,-1.8593955,0.7155319,-3.595745,2.870041,1.8387413,1.0877415,0.39891458,3.4028904,0.84308064,-0.98188114,-0.03750692,1.4949024,2.5871027,-0.68509054,2.5143435,-2.1943655,1.1119998,-0.68161184,-0.47094363,-2.146315,0.33623374,1.5930003,1.2256893,-3.2084703,-1.2658728,-0.8126016,-1.3010416,-1.1501427,-0.57076263,-0.79047185,0.63034445,-0.7828103,-1.2420448,-3.2569013,-0.9567042,-1.2366999,-0.9260026,-3.0783064,1.4243988,-0.12121677,3.4206035,-2.25664,1.8771518,2.08366,2.1992297,-2.9637306,-2.5854254,0.004746987,2.5641193,-0.65788937,-0.15081058,1.4262804,2.4746547,-2.0557225,-1.3106837,-0.5885686,2.7493138,0.8167509,1.2958604,0.5176286,1.4569592,-2.6904693,0.8869759,2.9833093,-0.24705857,-0.47965226,4.0866065,-0.8330871,1.3541901,1.0335165,0.89035976,-1.5592521,-1.3364654,0.80908656,1.2957952,0.8064484,-0.12623158,0.51643014,-1.890986,2.6469789,-1.0585765,0.22010778,-0.9252033,2.4938676,0.7712017,1.4007714,-0.2236938,0.63796467,-2.7139394,-0.09372423,0.6711579,-2.3810637,-0.20972362
buitenland_1885,-3.1677294,1.515201,1.8761117,2.1615267,-1.531932,-0.5565028,-1.1107284,-3.0145311,-0.5722903,-2.9535108,1.5317656,2.536287,0.97105694,-0.37370414,3.4808462,1.0099988,0.80774134,-0.0017314365,1.1446534,1.2687922,-0.42386085,3.0572295,-2.6178453,2.2087657,0.3684093,0.09338129,-2.5913804,-0.4003583,0.7860249,2.4479606,-4.018741,-2.1384106,-0.9489748,0.07154451,-2.526447,-1.0551978,-1.1388181,6.0250586e-05,-0.5738092,-1.6735284,-3.480578,-1.7237101,-2.4854236,-0.6740387,-3.2810118,1.4842577,-0.6598118,3.655608,-2.8514473,1.5517923,1.901833,1.3271126,-2.6963434,-1.4952503,-0.5535895,2.2485867,-2.2113898,0.6564735,0.8510373,1.563124,-1.6989518,-0.7338662,-0.6443081,2.4691703,-0.13318574,1.0397362,1.9879065,1.41836,-2.8042285,1.8846765,2.262109,0.28487104,-0.4219513,2.8916867,-0.44360778,0.39104545,0.9289648,-0.057775673,-1.244391,-0.6184908,0.8381795,1.1751392,-0.057582684,-0.24816863,-0.1262952,-3.179458,1.8324072,-0.40091687,0.9485637,-0.93751526,1.2731043,0.2613525,1.2750621,-0.99688894,0.8165941,-2.1019468,-0.76166505,1.5633192,-0.55448496,0.44858053
buitenland_1895,-3.3028502,1.569093,1.6021566,0.8822121,-0.6875825,0.11304199,-0.82064295,-3.967836,-0.10042987,-2.397469,1.1978441,2.295401,1.1891457,0.33472142,3.424374,0.41194427,-0.045959283,-0.8181831,1.4660836,1.5250138,0.8306034,0.82138973,-2.3100946,3.2814553,0.79043025,-0.15882455,-3.3496368,-1.5205535,0.732464,1.6192918,-4.464633,-2.7035038,-1.4798627,0.37112513,-3.5719151,-1.5256737,-1.6580473,-1.1186663,0.11260367,-0.8549723,-1.4183414,-2.3452551,-2.6536763,-0.3792845,-3.5299573,1.3166608,-0.27300245,2.840032,-2.3298764,0.749575,2.383713,1.1527653,-1.3005476,-0.62629503,-0.4692034,1.4605246,-2.4470375,1.608401,0.50389916,1.5888991,-2.1115925,-1.0839405,-0.36444703,3.0400386,0.30763966,1.2345464,1.8894099,2.79634,-2.8947659,1.5863919,0.8202347,0.4450131,-0.31113002,3.1973407,0.4588492,0.59691274,1.2190139,0.19020319,-0.5309379,-1.3474065,0.99628174,0.79045343,0.16080622,-0.89320874,0.19219612,-3.172069,2.5037444,-0.71136814,-0.21339452,0.27737764,0.91454595,0.29845697,0.78939986,0.08427308,0.751149,-1.3294325,-0.47927594,0.3288336,-0.028205631,0.9926305
buitenland_1905,-2.8591065,0.866204,1.5798374,0.26977214,-0.85019314,1.093554,-0.7769217,-3.9579372,0.4718949,-1.8130226,0.81038415,3.1712866,0.8189332,0.025799034,2.808269,-0.6432114,-0.035299413,-0.08840271,0.26156446,2.6979802,-0.5067293,1.4689133,-1.0088934,3.0179653,0.23233762,0.70037144,-3.4049222,-1.123042,0.82329196,1.6646684,-3.7273667,-2.2682595,-1.6459368,0.5378598,-3.006236,-1.4132111,-1.1060362,-2.4779422,0.33624104,-1.1573868,0.099247515,-1.8292918,-1.8344957,-1.2303263,-2.7419784,1.5198908,-0.14474376,2.3135073,-0.8367578,1.223532,1.967376,2.466735,-1.0106374,-0.6433515,-0.4665456,0.8836136,-2.6865373,1.7305607,0.5050592,1.170373,-2.2095027,-0.8425741,-0.8705053,2.9502864,0.54196113,1.0424514,1.3496664,2.9653516,-2.6196399,1.7839081,0.33378467,0.52436066,0.40494725,3.4731243,-0.41807514,0.10511217,1.6802363,1.189706,-0.98359483,-1.296357,0.45950204,0.3724386,1.6449836,-1.4978396,1.1603955,-3.2083094,2.3347363,-1.4628077,-0.4328506,-0.35623544,0.58836454,0.532056,0.6216197,0.100115165,0.5909224,-1.3248364,0.38243166,0.15240584,-1.9598478,0.8853157
