,pmi,year
0,-0.9941733430868721,1855
1,-0.9704032038381255,1856
2,-0.9270243699063994,1857
3,-0.8789195705095889,1858
4,-0.7283210240869337,1859
5,-0.7494802913792591,1860
6,-0.7285746062981084,1861
7,-0.838903231126696,1862
8,-0.7814268015140822,1863
9,-0.7093618868604472,1864
10,-0.8840772471791463,1865
11,-0.8088676761470671,1866
12,-0.6057687903150066,1867
13,-0.7508645347959371,1868
14,-0.690338168226951,1869
15,-0.7510855461752406,1870
16,-0.8719344735536858,1871
17,-1.0091914525872956,1872
18,-0.7090277391223128,1873
19,-0.8102964016646501,1874
20,-0.27683531797722855,1875
21,-0.48574045554487727,1876
22,-0.6687700723561224,1877
23,-0.6164895908537232,1878
24,-0.6000048534361488,1879
25,-0.5997066383920953,1880
26,-0.725494238256681,1881
27,-0.7131867856862996,1882
28,-0.682562283451347,1883
29,-0.6355449224085207,1884
30,-0.7831129549127824,1885
31,-0.505519211033246,1886
32,-0.6629660597283517,1887
33,-0.5499342718760544,1888
34,-0.5815122191319135,1889
35,-0.5665202239737532,1890
36,-0.666055168842446,1891
37,-0.6151052585572077,1892
38,-0.6633835768342765,1893
39,-0.7146926476094918,1894
40,-0.5372941118873559,1895
41,-0.7043636098349684,1896
42,-0.44997137545104443,1897
43,-0.5167668022765536,1898
44,-0.5439508032555316,1899
45,-0.5193335576836297,1900
46,-0.6322532284120546,1901
47,-0.537156121641249,1902
48,-0.5288494257914458,1903
49,-0.5522045112746099,1904
50,-0.44738794525256237,1905
51,-0.495263376729078,1906
52,-0.5737834616714322,1907
53,-0.4519771188393475,1908
54,-0.4827253366267886,1909
55,-0.5065524506500282,1910
56,-0.46610533176873764,1911
57,-0.25741599086038375,1912
58,-0.35494383814805236,1913
59,-0.38645259503426044,1914
