npp;sy;ey;ppns
algh;1828;1914;832337900+OR+400374129
nvdd;1870;1914;83249562X
tijd;1846;1858;400383764+OR+832688045)&coll=ddd
arnc;1815;1848;400337789+OR+400946564+OR+400997894+OR+400997908+OR+400997878+OR+400997886+OR+82000541X
nesc;1815;1914;830850090+OR+400915472
roni;1878;1914;832564818
leco;1815;1914;852115210+OR+832989185
prov;1845;1914;833050788+OR+398543062
prda;1823;1869;8398540756+OR+833050346
nroc;1844;1914;832495182
roco;1815;1867;401028984+OR+852536267+OR+852536836
mico;1816;1914;400383799+OR+852121741+OR+832996645
ophc;1815;1869;844104698
dzhg;1853;1869;832866024
tico;1869;1914;376311770+OR+833066226
brdc;1815;1870;400337452+OR+852175035+OR+421095903
leyc;1758;1868;84377455X+OR+84377164X+OR+83245222X
delc;1861;1914;376312912+OR+400337797+OR+85216792X
hagc;1883;1914;398541485+OR+398541477+OR+832923869+OR+832402826
prnb;1853;1914;833050672+OR+398831475
stan;1872;1899;832667536
