npp;loc;dist;scope;x;y
algh;Amsterdam;9000;n;1;7
nvdd;Amsterdam;25000;ci;2;7
tijd;Amsterdam;4000;cn;1;8
arnc;Arnhem;1500;cr;9;6
nesc;Den Haag;8000;cn;1;5
roni;Rotterdam;7000;cn;2;4
leco;Leeuwarden;5000;cn;5;9
prov;Zwolle;4000;cn;8;7
prda;Assen;3000;cr;9;8
nroc;Rotterdam;9800;cn;3;4
roco;Rotterdam;8000;cn;1;4
mico;Middelburg;2000;cr;1;2
ophc;Haarlem;3000;cr;1;6
dzhg;Den Haag;4000;c;2;5
tico;Tilburg;5000;cn;6;2
brdc;Breda;3000;cn;3;2
leyc;Leiden;3500;cn;2;5
delc;Delft;5000;cn;1;6
hagc;Den Haag;2000;n;3;5
prnb;Den Bosch;2500;cr;5;4
stan;Amsterdam;2500;cr;2;8
