,year,tokens,buitenlandsche
0,1815,5686482,0.011887842078810766
1,1816,4802322,0.019844566857449376
2,1817,4043759,0.015406457209739748
3,1818,4465745,0.01583162495843359
4,1819,4242469,0.020719067128127513
5,1820,4442881,0.014337543589396162
6,1821,4561697,0.019751421455655647
7,1822,4909844,0.024237022601940102
8,1823,4792725,0.02343134646782363
9,1824,4911844,0.01923921036580152
10,1825,5015313,0.018842293591646225
11,1826,4874755,0.023611443036624404
12,1827,5068367,0.020992954930059326
13,1828,6160772,0.01895866297275731
14,1829,7067596,0.01849285103449603
15,1830,8731314,0.01589680545219196
16,1831,9557319,0.027026407719570728
17,1832,11082795,0.02712312192005717
18,1833,10299950,0.026582653313851037
19,1834,10049591,0.023971124795028973
20,1835,9913837,0.024833976995990555
21,1836,10033001,0.023332998770756626
22,1837,9433775,0.01827476275404067
23,1838,9803371,0.021145787505134715
24,1839,9686454,0.02398194426980193
25,1840,10351607,0.019426935354095263
26,1841,10483197,0.023609210053001962
27,1842,11140910,0.018113421614571877
28,1843,11859698,0.0195367538026685
29,1844,14738068,0.017885655026154038
30,1845,16802029,0.019229820398476875
31,1846,17332473,0.018070127673067773
32,1847,19631870,0.02094044021277647
33,1848,22267762,0.02104836579446107
34,1849,20017533,0.020711842962866604
35,1850,21534798,0.020492414184707004
36,1851,19998816,0.01807607010335012
37,1852,22052340,0.02217451753419365
38,1853,23671951,0.02238091824370539
39,1854,22516207,0.024164816036733008
40,1855,21871040,0.02576009188406221
41,1856,25428951,0.025931073601895727
42,1857,25861717,0.02335498451243589
43,1858,26804383,0.02568609768036817
44,1859,30334592,0.025149505884239354
45,1860,30527772,0.022101187076475806
46,1861,33740652,0.023977011469725005
47,1862,33623642,0.02439355022873489
48,1863,32653419,0.02582577953016191
49,1864,32233555,0.02399983495459933
50,1865,35268379,0.020278788543130945
51,1866,35873239,0.024806792606600146
52,1867,36554210,0.030819979422342873
53,1868,33213127,0.031439376364652445
54,1869,40025619,0.019687390718429613
55,1870,28083482,0.023134595631695527
56,1871,30124526,0.0191837043344682
57,1872,32269046,0.015984358508770294
58,1873,31140626,0.01528228751727727
59,1874,35281768,0.016966269944295308
60,1875,35888776,0.017788291247380517
61,1876,34868913,0.015870870422602507
62,1877,36225807,0.015635262452538323
63,1878,37432557,0.015983412514405573
64,1879,48648656,0.013811275690740562
65,1880,47892652,0.013670155496922578
66,1881,46472828,0.01449879486567936
67,1882,50426326,0.015862745979153825
68,1883,56288438,0.016504277485902167
69,1884,51166256,0.01549654131425993
70,1885,47753538,0.014742363173174728
71,1886,50709042,0.013323067708516363
72,1887,58863063,0.013412485857217455
73,1888,53616163,0.013751450285616296
74,1889,58907684,0.014972579808094306
75,1890,61945962,0.015542578868982615
76,1891,65626965,0.015214782521178605
77,1892,65454750,0.017317306994526754
78,1893,68486312,0.01798753596193061
79,1894,68952759,0.01619079520806412
80,1895,84136979,0.01653494119393091
81,1896,83988260,0.014935420736183843
82,1897,83997358,0.01577668669055043
83,1898,84227082,0.017602414387334467
84,1899,90473623,0.016310831279521102
85,1900,87485626,0.014714417200375295
86,1901,95242595,0.014364371319366088
87,1902,94003696,0.014223908813117305
88,1903,90498127,0.01386106035100594
89,1904,99142898,0.013992933714727603
90,1905,93720212,0.016276104881196813
91,1906,93693235,0.015281786353091555
92,1907,93507206,0.012558390419664556
93,1908,103219327,0.015407967153283221
94,1909,103472217,0.014206712126405872
95,1910,136792841,0.012687067446753299
96,1911,138472470,0.014406473720010915
97,1912,149756060,0.013757707033691991
98,1913,140628218,0.012908504607517675
99,1914,133845074,0.014725980875470994
