zaken | berigten | politiek | aangelegenheden | nieuwstijdingen | staatkunde,1867 | dito | rogge | handelsberichten | tarwe | nieuws,fondsen | soorten | markt | ruwe | staatsfondsen | merken,beurzen | effecten | havens | markten | rekening | schuld,gezanten | regeringen | leden | hoven | kunstenaars | gouvernementen,beursberigten | reis | waren | was | en | met,year,sum
70.82560296846012,1.3450834879406308,2.9684601113172544,15.955473098330241,2.3654916512059367,6.539888682745826,1855,4312.0
67.47738693467336,0.8241206030150754,4.78391959798995,13.668341708542714,1.2663316582914574,11.979899497487438,1856,4975.0
64.79120879120879,2.857142857142857,4.0,15.406593406593409,1.5384615384615385,11.406593406593407,1857,4550.0
70.3667192429022,1.2815457413249212,4.17981072555205,8.714511041009464,2.267350157728707,13.190063091482651,1858,5072.0
72.2202486678508,0.15985790408525755,5.808170515097691,9.271758436944937,0.8170515097690942,11.72291296625222,1859,5630.0
78.6082474226804,0.03965107057890563,3.44964314036479,7.831086439333862,1.4274385408406027,8.643933386201427,1860,5044.0
80.48546790162887,0.04790801660811242,2.507186202491217,6.020440753752795,2.0281060364100925,8.91089108910891,1861,6262.0
80.96816976127322,0.1326259946949602,1.5583554376657824,7.0789124668435015,1.8899204244031829,8.372015915119363,1862,6032.0
77.21400778210116,0.311284046692607,3.09727626459144,6.879377431906615,1.4630350194552528,11.035019455252918,1863,6425.0
82.4987354577643,0.6238408362839318,2.9674591131343786,6.744225257123588,1.4162873039959536,5.749452031697859,1864,5931.0
74.5382859514422,0.7885453413571281,2.9051670471052082,9.421041709898319,1.5355882963270389,10.811371653870097,1865,4819.0
79.57907579685832,0.4422754308372731,5.185298154643892,6.954399877992985,1.1895684001830105,6.649382339484521,1866,6557.0
77.91316692298592,0.49686501833668517,6.459245238376908,7.654087306281794,2.3305335383887376,5.146101975629954,1867,8453.0
78.23006390664074,1.4309530425118089,5.487635454292859,7.446512920255627,1.722700750208391,5.6821339260905805,1868,7198.0
71.99566943341755,1.732226632984482,4.7094911584265615,9.797906892818476,2.7066041140382535,9.058101768314687,1869,5542.0
70.92846270928462,7.240704500978473,3.2833224614046532,10.176125244618394,1.0219612959338986,7.349423787779951,1870,4599.0
70.703125,7.700892857142858,3.459821428571429,13.811383928571427,1.5625,2.7622767857142856,1871,3584.0
69.8234894772573,5.227427019687712,3.9035980991174473,15.173116089613034,1.86693822131704,4.005431093007468,1872,2946.0
74.58465889006716,1.4846235418875928,5.054789678331566,13.361611876988336,1.378579003181336,4.135737009544008,1873,2829.0
64.70427909512128,1.7443445080403381,7.76778413736713,20.35977105478332,0.9539384028345598,4.469882801853366,1874,3669.0
57.79716466739367,1.9083969465648856,12.649945474372956,19.738276990185387,4.79825517993457,3.1079607415485277,1875,3668.0
58.26432593574032,1.6230539913878768,14.077509108976482,20.07287181185823,1.391189135475323,4.571050016561776,1876,3019.0
58.51373182552504,1.518578352180937,20.032310177705977,14.119547657512117,1.098546042003231,4.717285945072698,1877,3095.0
49.44193061840121,9.411764705882353,20.844645550527904,15.26395173453997,2.1116138763197587,2.9260935143288083,1878,3315.0
62.40730176839704,4.420992584141472,14.888762122076441,13.576725613234455,1.4546491728465487,3.2515687393040507,1879,3506.0
70.75131688383698,1.3584696423620737,10.119212642084834,13.252009980593291,1.49708899362351,3.021901857499307,1880,3607.0
63.04582210242587,1.9137466307277629,14.743935309973047,15.768194070080863,1.3746630727762803,3.1536388140161726,1881,3710.0
54.62693255657629,7.416535962357158,16.647994622451264,15.818955859287476,0.9858839345731572,4.5036970647546495,1882,4463.0
56.905158069883534,6.135607321131448,14.517470881863561,12.125623960066555,1.497504159733777,8.818635607321132,1883,4808.0
59.83451536643026,5.200945626477541,13.404255319148936,10.354609929078014,0.9692671394799055,10.236406619385342,1884,4230.0
